label,region
1,left posterior insula
2,right posterior insula
3,left mid insula
4,right mid insula
5,left anterior insula
6,right anterior insula
7,left basolateral amygdala
8,right basolateral amygdala
9,left centromedial amygdala
10,right centromedial amygdala
11,left anterior temporoparietal junction
12,right anterior temporoparietal junction
13,left posterior temporoparietal junction
14,right posterior temporoparietal junction
15,left inferior frontal gyrus pars triangularis
16,right inferior frontal gyrus pars triangularis
17,left inferior frontal gyrus pars opercularis
18,right inferior frontal gyrus pars opercularis
19,left ventromedial prefrontal cortex
20,dorsal anterior cingulate cortex
21,right supplemental motor area
22,left primary motor trunk
23,right primary motor trunk
24,left primary motor arm
25,right primary motor arm
26,left primary somatosensory trunk
27,right primary somatosensory trunk
28,left primary somatosensory arm
29,right primary somatosensory arm
30,left primary motor upper face
31,right primary motor upper face
32,left primary motor lower face
33,right primary motor lower face
34,left primary motor mouth
35,right primary motor mouth
36,left primary somatosensory upper face
37,right primary somatosensory upper face
38,left primary somatosensory lower face
39,right primary somatosensory lower face
40,left primary somatosensory mouth
41,right primary somatosensory mouth
